what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451477212445
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451477213038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451477213974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451477217767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451477219991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451477326104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451477334136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451477336226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451477360772
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451477371515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451477372404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451477391889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451477397021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451477398512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451477413979
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451477423751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451477428337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451477428516
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451477429926
