what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450877801548
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1450877907753
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450877986391
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1450878001202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1450878031996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450878033930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450878803582
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1450878804533
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1450878804651
started,bundle,org.eclipse.php.debug.ui,3.0.1.v201201110400,"org.eclipse.php.debug.ui",1450878804807
started,bundle,org.eclipse.php.server.ui,3.0.1.v201201110400,"org.eclipse.php.server.ui",1450878804829
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1450878805801
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1450878820141
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1450878820165
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1450878820341
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1450878820373
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1450878820406
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1450878820425
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1450878820429
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1450878820529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1450878851734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450878854957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450878876955
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1450878911938
started,bundle,org.eclipse.php.debug.daemon,3.0.1.v201201110400,"org.eclipse.php.debug.daemon",1450878912171
started,bundle,org.eclipse.php.server.core,3.0.1.v201201110400,"org.eclipse.php.server.core",1450878912183
started,bundle,org.eclipse.php.debug.core,3.0.1.v201201110400,"org.eclipse.php.debug.core",1450878913334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450878915375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450879176688
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1450879179001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450879200367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450879206714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450879217810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450879260071
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1450879261488
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1450879265165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1450879266993
