what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451484819047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451484821159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451484945031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451484957494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451484959041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451484975534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451484997823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485048627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485051579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485064101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485073445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485344001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485347281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485706756
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1451485710139
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451485711306
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451485716140
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451485717473
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451485718731
closed,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451485718731
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1451485719548
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451485720423
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1451485720424
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451485721951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451485734906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485743412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485751997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451485766909
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451485767795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485770660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451485780389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451485787864
