what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204455492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204457270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1451204458298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451204459156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451204459849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204460964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204468400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451204476502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204477280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204481479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204483153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204483238
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451204485196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204490574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204497672
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451204500747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451204512420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204513540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204517939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451204522392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204523077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204581880
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1451204582712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451204583528
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451204584071
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451204585940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204590870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204625841
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451204627011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1451204627360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451204628043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204628802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204663843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451204665834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451204666599
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451204667980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204672765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204732351
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451204732951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1451204733268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451204734026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451204734639
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451204736153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204740558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204775382
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451204776233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1451204776543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451204777372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451204778239
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451204794650
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451204795520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451204799697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451207500480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451207519437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451207523438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451207542494
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451207551978
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451207558220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451207562248
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451207562841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451207565120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451207578865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451207580841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451207594302
