what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1451791296855
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1451791296870
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1451791296891
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1451791296928
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1451791296977
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1451791296977
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1451791296984
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1451791297022
started,bundle,com.python.pydev.analysis,4.4.0.201510052309,"com.python.pydev.analysis",1451791297041
started,bundle,org.python.pydev,4.4.0.201510052309,"org.python.pydev",1451791297073
started,bundle,org.python.pydev.core,4.4.0.201510052309,"org.python.pydev.core",1451791297101
started,bundle,org.python.pydev.parser,4.4.0.201510052309,"org.python.pydev.parser",1451791297134
started,bundle,org.python.pydev.shared_core,4.4.0.201510052309,"org.python.pydev.shared_core",1451791297173
started,bundle,org.python.pydev.shared_ui,4.4.0.201510052309,"org.python.pydev.shared_ui",1451791297264
os,sysinfo,,,"win32",1451791297268
arch,sysinfo,,,"x86_64",1451791297269
ws,sysinfo,,,"win32",1451791297269
locale,sysinfo,,,"zh_CN",1451791297269
processors,sysinfo,,,"4",1451791297269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1451791297269
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1451791297269
java.specification.name,sysinfo,,,"Java Platform API Specification",1451791297269
java.specification.vendor,sysinfo,,,"Oracle Corporation",1451791297269
java.specification.version,sysinfo,,,"1.7",1451791297269
java.vendor,sysinfo,,,"Oracle Corporation",1451791297269
java.version,sysinfo,,,"1.7.0_01",1451791297269
java.vm.info,sysinfo,,,"mixed mode",1451791297269
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1451791297269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1451791297269
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1451791297269
java.vm.specification.version,sysinfo,,,"1.7",1451791297269
java.vm.vendor,sysinfo,,,"Oracle Corporation",1451791297269
java.vm.version,sysinfo,,,"21.1-b02",1451791297269
started,bundle,com.android.ide.eclipse.adt,16.0.0.v201112072138-234950,"com.android.ide.eclipse.adt",1451791297627
error,log,,,"DDMS files not found: C:\\eclipse\\platform-tools\\adb.exe C:\\eclipse\\tools\\hprof-conv.exe C:\\eclipse\\tools\\traceview.bat ",1451791297790
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1451791297875
started,bundle,com.android.ide.eclipse.traceview,16.0.0.v201112072138-234950,"com.android.ide.eclipse.traceview",1451791297884
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1451791298232
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1451791298383
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1451791298430
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1451791298507
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1451791298610
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1451791298649
started,bundle,org.python.pydev.debug,4.4.0.201510052309,"org.python.pydev.debug",1451791298740
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1451791298742
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1451791298756
started,bundle,org.eclipse.libra.facet.ui,0.1.1.201202130952,"org.eclipse.libra.facet.ui",1451791298771
started,bundle,org.python.pydev.shared_interactive_console,4.4.0.201510052309,"org.python.pydev.shared_interactive_console",1451791298877
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1451791298953
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1451791299149
started,bundle,org.eclipse.libra.facet,0.1.2.201202130952,"org.eclipse.libra.facet",1451791299152
started,bundle,com.python.pydev.debug,4.4.0.201510052309,"com.python.pydev.debug",1451791299223
started,bundle,net.sourceforge.phpeclipse,1.1.8,"net.sourceforge.phpeclipse",1451791299488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451791385866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451791387104
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1451791388747
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1451791388850
started,bundle,org.eclipse.php.debug.ui,3.0.1.v201201110400,"org.eclipse.php.debug.ui",1451791389479
started,bundle,org.eclipse.php.server.ui,3.0.1.v201201110400,"org.eclipse.php.server.ui",1451791389498
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1451791389662
started,bundle,org.eclipse.php.server.core,3.0.1.v201201110400,"org.eclipse.php.server.core",1451791389805
started,bundle,org.python.pydev.django,4.4.0.201510052309,"org.python.pydev.django",1451791390158
started,bundle,org.python.pydev.customizations,4.4.0.201510052309,"org.python.pydev.customizations",1451791390181
started,bundle,org.eclipse.php.debug.daemon,3.0.1.v201201110400,"org.eclipse.php.debug.daemon",1451791391217
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451791391271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451791391280
started,bundle,org.eclipse.php.debug.core,3.0.1.v201201110400,"org.eclipse.php.debug.core",1451791392599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451805413792
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1451805414635
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1451805414650
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1451805414650
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1451805414697
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1451805414775
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451805420984
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451805421031
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451805427006
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451805427006
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1451805428628
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451805429907
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451805429970
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1451805441000
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1451805441093
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1451805441156
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1451805441359
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1451805441374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451805441717
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451805442482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451805446055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451805447180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451805453358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451805454965
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1451805747261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451807676349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451807728417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451807950704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451808882278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451808891154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451808895246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451808896940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451808902810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451808903405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451808904183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451808905216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451811517326
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1451811519648
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1451811521382
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1451811521455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451811539098
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451811541144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451811547449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451811548161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451811551647
error,log,,,"Incompatible debugger version.\nThe remote debugger version might not match the expected protocol version (2006040705).",1451811988122
error,log,,,"Incompatible debugger version.\nThe remote debugger version might not match the expected protocol version (2006040705).",1451812074969
error,log,,,"Incompatible debugger version.\nThe remote debugger version might not match the expected protocol version (2006040705).",1451812119367
error,log,,,"Incompatible debugger version.\nThe remote debugger version might not match the expected protocol version (2006040705).",1451812314645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451813334409
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451813339739
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451813340118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451813341723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451813679570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451813681214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451813681767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451813682538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451813683349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451813683925
