what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211195824
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211195824
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1451211197196
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211197563
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211197627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211206549
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211207037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211216976
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451211217681
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211218712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211224954
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211225790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211235390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451211236228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211247475
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211249245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211283402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211284821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451211287192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451211293242
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211297564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211301232
error,log,,,"Invalid Hierarchy Request",1451211302951
error,log,,,"Invalid Hierarchy Request",1451211302964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211302992
error,log,,,"IStructuredDocumentRegion management failed.",1451211308659
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211308716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211314669
error,log,,,"Invalid Hierarchy Request",1451211318553
error,log,,,"Invalid Hierarchy Request",1451211318564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211318591
error,log,,,"IStructuredDocumentRegion management failed.",1451211321004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211321036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451211321736
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211332785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211334992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211337918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211347367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211349957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211350998
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211353093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211355514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211357814
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451211358484
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451211361123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211366102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211402942
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211411961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211424383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211591868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211594651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211596428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211597690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211600051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211600539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211648635
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1451211650546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1451211652209
started,bundle,com.spket.js.xpc,1.6.6,"com.spket.js.xpc",1451211655524
started,bundle,com.spket.ui,1.6.23,"com.spket.ui",1451211655534
started,bundle,com.spket.as.core,1.6.17,"com.spket.as.core",1451211655562
started,bundle,com.spket.js,1.6.23,"com.spket.js",1451211655569
started,bundle,com.spket.core,1.6.18,"com.spket.core",1451211655644
opened,editor,com.spket.js,1.6.23,"com.spket.js.jsoneditor",1451211655897
activated,editor,com.spket.js,1.6.23,"com.spket.js.jsoneditor",1451211655941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211656441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211658160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211660082
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211660812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211664010
started,bundle,com.spket.xml,1.6.19,"com.spket.xml",1451211664258
started,bundle,com.spket.mime,1.6.19,"com.spket.mime",1451211664260
started,bundle,com.spket.laszlo,1.6.19,"com.spket.laszlo",1451211664263
started,bundle,com.spket.svg,1.6.6,"com.spket.svg",1451211664398
started,bundle,com.spket.xul,1.6.6,"com.spket.xul",1451211664420
started,bundle,com.spket.ywt,1.6.6,"com.spket.ywt",1451211664433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451211664478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211668922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211808628
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211814034
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211815298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211836225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211842726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211849324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211852323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451211857458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451211858543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451211859560
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451211862023
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451211865247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451211868156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451221613675
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1451221613759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451221614608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451221668032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451221668251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451221668944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222031134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222046293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222068888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222072887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222343254
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451222345886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451222353145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451222383900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451222384564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222396588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222571367
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451222576201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222589789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222621838
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451222623598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222642056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222659260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451222661666
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451222670728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451222675535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451222677332
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451222678715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451222680165
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451222680801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451222682137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451222683626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451222685111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451222685648
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451222688090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451222695933
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451222696680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222700625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222737049
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451222740240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222751025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222775309
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451222779848
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451222789418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451222792274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1451222794852
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451222796085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451222796557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222802281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222834820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451222837616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451222862109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222872048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222895807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451222900184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223134272
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451223141737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223144934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223201557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223208907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223220915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451223225160
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223229671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223359183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223361148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223361465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223361708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223362021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223362367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223362898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223363336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223363771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223364273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223364792
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223366454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223376511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223377800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223379662
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451223379759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223393527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223484678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451223485376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223490839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223491717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223491884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223492036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223492190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223492368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223492984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223493289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223493312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223493332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1451223493422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451223494568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223497432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223540215
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451223541429
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451223549644
closed,editor,com.spket.js,1.6.23,"com.spket.js.jsoneditor",1451223549647
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1451223554840
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1451223557951
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451223563605
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1451223565109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223573955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223578139
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451223579386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223608776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223610835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223610866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223612086
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1451223612238
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451223612905
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1451223613249
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1451223613553
opened,view,com.android.ide.eclipse.ddms,,"com.android.ide.eclipse.ddms.views.LogCatView",1451223613847
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1451223614479
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1451223615212
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.ExpressionView",1451223615317
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451223618158
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451223618216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223622377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223624802
error,log,,,"Unhandled event loop exception",1451223627917
error,log,,,"Unhandled event loop exception",1451223630442
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1451223631509
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451223645110
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451223645216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223649044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223651511
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451223652595
activated,view,com.android.ide.eclipse.ddms,,"com.android.ide.eclipse.ddms.views.LogCatView",1451223659717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223661611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223695283
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451223695291
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451223699066
activated,perspective,org.python.pydev,4.4.0.201510052309,"org.python.pydev.ui.PythonPerspective",1451223700882
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451223700894
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451223705275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451223709236
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451223712765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223718645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223721503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223722879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223786337
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451223789109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451223790813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223794954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223806200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451223814624
